"","term","estimate","std.error","statistic","p.value"
"73","countryKuwait",31.4435000000047,1.46324195844223,21.4889272540268,6.08196441282463e-90
"74","countryLebanon",28.3868333333387,1.46324195844225,19.3999585438071,2.77596495459899e-75
"75","countryLesotho",12.5282500000053,1.46324195844224,8.56198110484937,2.61508056065723e-17
"76","countryLiberia",4.99741666667204,1.46324195844226,3.41530437795277,0.000653439698139639
"77","countryLibya",21.8253333333386,1.46324195844225,14.9157377612201,3.90371152772163e-47
"78","countryMadagascar",10.2917500000055,1.46324195844225,7.03352575466189,3.00218209693611e-12
"79","countryMalawi",5.87275000000529,1.46324195844225,4.01351940881831,6.26548798140287e-05
"80","countryMalaysia",26.8007500000052,1.46324195844224,18.3160070317674,4.93249379612558e-68
"81","countryMali",5.93466666667187,1.46324195844224,4.05583412396805,5.2420951785152e-05
"82","countryMauritania",14.8232500000056,1.46324195844227,10.1304161724464,2.10411747993978e-23
"83","countryMauritius",27.474416666672,1.46324195844225,18.7764002447832,4.42260257891024e-71
"84","countryMexico",27.9300000000054,1.46324195844225,19.0877522605621,3.61407511643363e-73
"85","countryMongolia",18.4115000000055,1.46324195844226,12.5826763603786,1.18765037116391e-34
"86","countryMontenegro",32.8203333333386,1.46324195844225,22.4298743922563,8.21482538151392e-97
"87","countryMorocco",20.1300000000055,1.46324195844226,13.7571232726511,9.90019935477168e-41
"88","countryMozambique",2.90066666667201,1.46324195844225,1.98235613046527,0.0476144900052201
"89","countryMyanmar",15.8428333333385,1.46324195844224,10.8272136688895,2.15839396666112e-26
"90","countryNamibia",16.0125000000053,1.46324195844225,10.9431662396095,6.61343289541292e-27
"91","countryNepal",11.5075000000054,1.46324195844225,7.86438629210446,6.86880943487045e-15
"92","countryNetherlands",38.1696666666719,1.46324195844225,26.0856835374698,8.4040163053176e-125
"93","countryNew Zealand",36.5106666666717,1.46324195844224,24.9518997565794,6.36427923873535e-116
"94","countryNicaragua",20.8705833333387,1.46324195844225,14.2632482706806,1.76353402682449e-43
"95","countryNiger",7.07983333333856,1.46324195844225,4.83845702516328,1.43780691558894e-06
"96","countryNigeria",6.10250000000512,1.46324195844225,4.17053376907111,3.20596045290588e-05
"97","countryNorway",38.364166666672,1.46324195844225,26.2186075551812,7.46774203196744e-126
"98","countryOman",20.9638333333385,1.46324195844224,14.326976623645,7.84954977028497e-44
"99","countryPakistan",17.4034166666719,1.46324195844225,11.8937381246226,2.73909606084604e-31
"100","countryPanama",30.3229166666718,1.46324195844224,20.7231049463299,1.80792506932985e-84
"101","countryParaguay",29.3302500000056,1.46324195844226,20.0447026759881,1.02671897153236e-79
"102","countryPeru",21.3805000000057,1.46324195844227,14.6117324456489,2.03996049321206e-45
"103","countryPhilippines",23.4884166666719,1.46324195844224,16.052312149166,8.70228019249332e-54
